Incubation Time (h),Electrical Resistivity (Ω·m)
2.4788111141343228,-5.253035478950759,0.5% Mineral oil/PAMS
2.632016586572943,-4.570410346798465,0.5% Mineral oil/PAMS
3.864888485132274,-4.288140446513685,0.5% Mineral oil/PAMS
13.700081276136387,-0.5273860660419851,0.5% Mineral oil/PAMS
2.4788111141343228,-4.1276249408978885,0.23% Mineral oil/PAMS
2.632016586572943,-4.166920281724124,0.23% Mineral oil/PAMS
3.864888485132274,-4.272408119613224,0.23% Mineral oil/PAMS
13.700081276136387,-4.568781029221665,0.23% Mineral oil/PAMS
2.4788111141343228,8.592788857904297,0.15% Mineral oil/PAMS
2.632016586572943,8.426426144629382,0.15% Mineral oil/PAMS
3.864888485132274,8.501944669788422,0.15% Mineral oil/PAMS
13.700081276136387,8.038149104051428,0.15% Mineral oil/PAMS
2.4788111141343228,-2.8136214010526084,0.74% Mineral oil/PAMS
2.632016586572943,-2.832071159846114,0.74% Mineral oil/PAMS
3.864888485132274,-2.965436210600945,0.74% Mineral oil/PAMS
13.700081276136387,-3.320818061930384,0.74% Mineral oil/PAMS
