Film Thickness (µm),Compressive Modulus (GPa)
0,5.355950165635813,0.74% Thermal black
4,5.07766475069636,0.74% Thermal black
12,4.774947685927342,0.74% Thermal black
13,4.750142803926573,0.74% Thermal black
15,4.704752269842684,0.74% Thermal black
0,-0.8015034695226004,0.48% Thermal black
4,-0.5047288252575286,0.48% Thermal black
12,5.0180685589439715,0.48% Thermal black
13,3.5444773179458533,0.48% Thermal black
15,7.256905691193612,0.48% Thermal black
0,-4.6922817601578455,0.76% Thermal black
4,-5.690162310763923,0.76% Thermal black
12,-5.901419183369095,0.76% Thermal black
13,-5.910652657491172,0.76% Thermal black
15,-5.919634812422632,0.76% Thermal black
0,-4.7173498671433425,0.41% Thermal black
4,-4.968761228672443,0.41% Thermal black
12,-5.3547412412949535,0.41% Thermal black
13,-5.39070522791815,0.41% Thermal black
15,-5.4486331810577475,0.41% Thermal black
