Shear Rate (1/s),Hardness (HV)
12.155299704918448,60.75037198533916,0.25% graphite nanoplates
12.922001923290647,9.0266341540778,0.25% graphite nanoplates
15.301949247924131,272.5228707529073,0.25% graphite nanoplates
5,-6.381625515388691,0.65% graphite nanoplates
15,-6.57533604866057,0.65% graphite nanoplates
17,-6.579173927603313,0.65% graphite nanoplates
1.1907191639350345,-0.7249091177330361,0.45% graphite nanoplates
1.8614236612407087,-0.825646022936067,0.45% graphite nanoplates
11.32715931640828,-1.309433525817003,0.45% graphite nanoplates
11,1.4473964046079824,0.71% graphite nanoplates
13,1.402894559021162,0.71% graphite nanoplates
17,1.3086219551776048,0.71% graphite nanoplates
1.150101199586877,0.15332493256216662,0.18% graphite nanoplates
14.803406711781085,-0.8823974454353474,0.18% graphite nanoplates
19.97442266064516,-0.8923834835247709,0.18% graphite nanoplates
