Evaporation Temperature (°C),Oxidation Potential (V)
0,-4.340591859950974,clay/Poly(vinylidene fluoride)
2,-4.118464033752478,clay/Poly(vinylidene fluoride)
14,-4.983420224549835,clay/Poly(vinylidene fluoride)
15,-4.994276589529868,clay/Poly(vinylidene fluoride)
18,-5.0510323578375065,clay/Poly(vinylidene fluoride)
0,-2.1829190390358715,multi-walled CNTs/Poly(vinylidene fluoride)
2,-2.870941865108812,multi-walled CNTs/Poly(vinylidene fluoride)
14,-3.4468645140003717,multi-walled CNTs/Poly(vinylidene fluoride)
15,-3.451152917700233,multi-walled CNTs/Poly(vinylidene fluoride)
18,-3.4577095784017535,multi-walled CNTs/Poly(vinylidene fluoride)
0,4.539346681909117,Bentonite/Poly(vinylidene fluoride)
2,4.312422417850928,Bentonite/Poly(vinylidene fluoride)
14,3.7923932976617785,Bentonite/Poly(vinylidene fluoride)
15,3.7770375522693613,Bentonite/Poly(vinylidene fluoride)
18,3.7335616780030088,Bentonite/Poly(vinylidene fluoride)
0,8.139689351316829,Cellulose/Poly(vinylidene fluoride)
2,9.285014179949904,Cellulose/Poly(vinylidene fluoride)
14,62.90659934549955,Cellulose/Poly(vinylidene fluoride)
15,179.54672268135636,Cellulose/Poly(vinylidene fluoride)
18,134.63661804574951,Cellulose/Poly(vinylidene fluoride)
0,8.372570146378319,OAP-POSS/Poly(vinylidene fluoride)
2,7.87007701747642,OAP-POSS/Poly(vinylidene fluoride)
14,7.413120629227212,OAP-POSS/Poly(vinylidene fluoride)
15,7.410963938492143,OAP-POSS/Poly(vinylidene fluoride)
18,7.403552927469092,OAP-POSS/Poly(vinylidene fluoride)
