Degradation Temperature (°C),Pore Size (nm)
4,-5.523984819723966,Poly(methyl methacrylate)
7,-3.456954352600097,Poly(methyl methacrylate)
14,-2.7953461164639806,Poly(methyl methacrylate)
4,12.355735728896533,DGEBA Epoxy Resin
7,19.864997820899863,DGEBA Epoxy Resin
14,128.93671355637485,DGEBA Epoxy Resin
4,8.91367880216676,Cyclic olefin copolymer
7,8.706032734769867,Cyclic olefin copolymer
14,12.369971313667488,Cyclic olefin copolymer
4,8.155436358240959,Poly(vinyl alcohol)
7,8.065963424441696,Poly(vinyl alcohol)
14,7.725530247163817,Poly(vinyl alcohol)
