Exposure Time (h),Loss Modulus (Pa)
0,-0.37195902535143044,NVE
2,0.247700233795078,NVE
4,1.2087668166044017,NVE
11,13.126091188966331,NVE
17,113.47429475472366,NVE
0,7.793472385959019,Unsaturated polyester resin
2,9.289723325612972,Unsaturated polyester resin
4,10.187965168401341,Unsaturated polyester resin
11,-6.445491420784824,Unsaturated polyester resin
17,201.44138962179383,Unsaturated polyester resin
0,-1.83134890479918,EPDM
2,-1.1439665701732147,EPDM
4,-1.0901526385653821,EPDM
11,-1.1821427021280884,EPDM
17,-2.0738837378339214,EPDM
0,-1.3634276644863779,EVA
2,-1.3484276988633266,EVA
4,-0.9132130261885085,EVA
11,1.1735548080158784,EVA
17,3.526216397694471,EVA
