Calcination Time (h),Tensile Strength (MPa)
5,-3.291623800712338,cellulose nanowhiskers/PHEA
8,-3.5748836857457733,cellulose nanowhiskers/PHEA
10,-3.6382271144910066,cellulose nanowhiskers/PHEA
11,-3.6260114185173364,cellulose nanowhiskers/PHEA
19,-3.8562385631330884,cellulose nanowhiskers/PHEA
5,0.17482333733735733,9-Anthracenemethanol/PHEA
8,0.11409834674599095,9-Anthracenemethanol/PHEA
10,0.012071432498371948,9-Anthracenemethanol/PHEA
11,-0.0568140309962033,9-Anthracenemethanol/PHEA
19,-0.23518741274922267,9-Anthracenemethanol/PHEA
