Decomposition Temperature (°C),Bulk Modulus (GPa)
1.1278350414288618,8.027689245438403,0.17% multi-walled CNTs
1.615719165971714,7.870545473981182,0.17% multi-walled CNTs
8.450300230467057,7.329655582670193,0.17% multi-walled CNTs
14.25817160997292,7.263536982920302,0.17% multi-walled CNTs
14.582698206934367,7.261618109151156,0.17% multi-walled CNTs
16.400311589859054,7.255746478129523,0.17% multi-walled CNTs
1.1278350414288618,3.72374543463697,0.6% multi-walled CNTs
1.615719165971714,3.9297697489574883,0.6% multi-walled CNTs
8.450300230467057,3.472389422971994,0.6% multi-walled CNTs
14.25817160997292,3.3109763162478596,0.6% multi-walled CNTs
14.582698206934367,3.2962662773809646,0.6% multi-walled CNTs
16.400311589859054,3.2496220694314935,0.6% multi-walled CNTs
