Stress (Pa),Thermal Stability (°C)
2.5830584973112702,6.785218559943293,0.95% Carbon black
4.322323437656463,10.759865416970856,0.95% Carbon black
13.739356709767673,-9.67895358024183,0.95% Carbon black
13.847486481456638,15.906024375111395,0.95% Carbon black
18.910653025285864,191.2464465679091,0.95% Carbon black
5,1.7497052118304568,0.28% Carbon black
6,2.10034259403914,0.28% Carbon black
13,-1.5918887000458177,0.28% Carbon black
14,55.79265652524383,0.28% Carbon black
15,-43.97102641497456,0.28% Carbon black
