Thermal Conductivity (W/(m·K)),Coefficient Of Thermal Expansion (1/K)
0,8.01745390290684,TGDDM
12,7.211394383646023,TGDDM
13,7.196659339071213,TGDDM
15,7.123813661853479,TGDDM
18,7.069001688553148,TGDDM
19,7.0565316147510115,TGDDM
0,8.892623596608075,PPSU
12,8.182282734439477,PPSU
13,8.162005753935322,PPSU
15,8.120337138126182,PPSU
18,8.050287030481718,PPSU
19,8.036701586562026,PPSU
0,-2.704448345979009,Polybenzimidazole
12,-3.6672522153778204,Polybenzimidazole
13,-3.713804099318885,Polybenzimidazole
15,-3.762931354926466,Polybenzimidazole
18,-3.8068919346952814,Polybenzimidazole
19,-3.822783563369376,Polybenzimidazole
