Film Thickness (µm),Tan Delta
0.020870660212961578,-3.6293326695146186,0.69% Alumina
6.473236173552596,-3.4424258802510206,0.69% Alumina
8.814107394370419,-3.333094669993012,0.69% Alumina
13.031722772727086,-1.098082675649298,0.69% Alumina
19.833371156905585,-3.477170384728155,0.69% Alumina
0.020870660212961578,7.468713634052927,0.73% Alumina
6.473236173552596,6.937380622281152,0.73% Alumina
8.814107394370419,6.7882251153001025,0.73% Alumina
13.031722772727086,6.6188689702060115,0.73% Alumina
19.833371156905585,6.502289774059081,0.73% Alumina
0.020870660212961578,6.102593084445352,0.83% Alumina
6.473236173552596,6.633022557171636,0.83% Alumina
8.814107394370419,7.47247501996336,0.83% Alumina
13.031722772727086,13.254529140987383,0.83% Alumina
19.833371156905585,7.008569120350462,0.83% Alumina
