Volume Fraction (%),Intrinsic Viscosity (dl/g)
3,5.555792696961059,exfoliated graphite/Polychlorotrifluoroethylene
8,5.308202384955755,exfoliated graphite/Polychlorotrifluoroethylene
15,5.105688038474193,exfoliated graphite/Polychlorotrifluoroethylene
18,5.041641751699878,exfoliated graphite/Polychlorotrifluoroethylene
3,-5.905900535768563, Graphite/Polychlorotrifluoroethylene
8,-6.180216395779362, Graphite/Polychlorotrifluoroethylene
15,-6.431232722900657, Graphite/Polychlorotrifluoroethylene
18,-6.481641003050916, Graphite/Polychlorotrifluoroethylene
3,8.35587710885288,Cloisite/Polychlorotrifluoroethylene
8,8.783881177314312,Cloisite/Polychlorotrifluoroethylene
15,12.663246753119763,Cloisite/Polychlorotrifluoroethylene
18,13.47796850183389,Cloisite/Polychlorotrifluoroethylene
3,-3.8199345650763172,zirconium dioxide/Polychlorotrifluoroethylene
8,2.278235910956262,zirconium dioxide/Polychlorotrifluoroethylene
15,7.712895903836857,zirconium dioxide/Polychlorotrifluoroethylene
18,458.7154010626219,zirconium dioxide/Polychlorotrifluoroethylene
3,0.7673762618928665,PbS/Polychlorotrifluoroethylene
8,3.0680943899541013,PbS/Polychlorotrifluoroethylene
15,5.789994052577801,PbS/Polychlorotrifluoroethylene
18,11.848551648102587,PbS/Polychlorotrifluoroethylene
