Loading Concentration (%),Shear Viscosity (Pa·s)
0.11181285411227426,-5.329684684075087,rGO/Polyamide-imide
14.40725480056156,60.42206231264636,rGO/Polyamide-imide
18.58257864271151,-241.05120743463345,rGO/Polyamide-imide
0.11181285411227426,-1.512554487180879,single-walled CNT/Polyamide-imide
14.40725480056156,-2.5379932552499636,single-walled CNT/Polyamide-imide
18.58257864271151,-2.5933165433648058,single-walled CNT/Polyamide-imide
0.11181285411227426,0.014486880376366584,PVA/Polyamide-imide
14.40725480056156,-0.847363593232724,PVA/Polyamide-imide
18.58257864271151,-0.8569913885607501,PVA/Polyamide-imide
0.11181285411227426,4.285845143188007,cellulose nanocrystal/Polyamide-imide
14.40725480056156,7.50676881058564,cellulose nanocrystal/Polyamide-imide
18.58257864271151,13.855533633001999,cellulose nanocrystal/Polyamide-imide
