Nanoparticle Mass (%),Heat Capacity (J/K)
2,-2.897096739917174,PVC
3,-3.1932001934122276,PVC
4,-3.3325580909283437,PVC
11,-3.5221837432277683,PVC
12,-3.5321972053011765,PVC
15,-3.549761828627721,PVC
17,-3.555548849738692,PVC
2,-0.4529261876339371,S-EB-S
3,-0.6675407713267363,S-EB-S
4,-0.7726994764222712,S-EB-S
11,-1.0294812464522998,S-EB-S
12,-1.0384347544898673,S-EB-S
15,-1.056890256522556,S-EB-S
17,-1.0616375153709205,S-EB-S
2,6.065161215587864,PVC
3,5.537574099404673,PVC
4,5.661142825535697,PVC
11,8.101328019604384,PVC
12,7.9768967938495905,PVC
15,8.85646211438005,PVC
17,8.118235860208678,PVC
2,0.9533723342334458,Polyphenylsulfone
3,0.9535417859088388,Polyphenylsulfone
4,0.7416601727184864,Polyphenylsulfone
11,0.482934551136776,Polyphenylsulfone
12,0.503132374916099,Polyphenylsulfone
15,0.3935948383182889,Polyphenylsulfone
17,0.38239177862164686,Polyphenylsulfone
