EV (V),Dielectric Loss
3.783678550443035,1.177496626175241,Carbon nanofibers/Nylon 6(3)T
5.32216024102974,3.571726310250689,Carbon nanofibers/Nylon 6(3)T
6.158706059045498,4.151776986338301,Carbon nanofibers/Nylon 6(3)T
12.741532294229438,52.8480596973938,Carbon nanofibers/Nylon 6(3)T
3.783678550443035,-1.9964407262902721,PAN/Nylon 6(3)T
5.32216024102974,-0.7318052139314482,PAN/Nylon 6(3)T
6.158706059045498,-1.932969596425293,PAN/Nylon 6(3)T
12.741532294229438,42.96317291149505,PAN/Nylon 6(3)T
3.783678550443035,-0.689199033593012,Morrocan montmorillonite/Nylon 6(3)T
5.32216024102974,-0.814704085742096,Morrocan montmorillonite/Nylon 6(3)T
6.158706059045498,-0.8309191887164113,Morrocan montmorillonite/Nylon 6(3)T
12.741532294229438,-0.994018405240403,Morrocan montmorillonite/Nylon 6(3)T
