EV (V),Dielectric Breakdown Strength (MV/m)
1,-6.385567127490475,HAF/Poly(butylene terephthalate)
2,-6.952531156008549,HAF/Poly(butylene terephthalate)
6,-5.048576567871878,HAF/Poly(butylene terephthalate)
8,-4.360245128903945,HAF/Poly(butylene terephthalate)
11,-4.825712088975864,HAF/Poly(butylene terephthalate)
12,-3.3034928279098157,HAF/Poly(butylene terephthalate)
16,1.6854338679107723,HAF/Poly(butylene terephthalate)
1,1.472245726264403,Lead(II) sulfide/Poly(butylene terephthalate)
2,1.2173180090966933,Lead(II) sulfide/Poly(butylene terephthalate)
6,0.8259373047272618,Lead(II) sulfide/Poly(butylene terephthalate)
8,0.7658601655575131,Lead(II) sulfide/Poly(butylene terephthalate)
11,0.7187968314998568,Lead(II) sulfide/Poly(butylene terephthalate)
12,0.7077938338183921,Lead(II) sulfide/Poly(butylene terephthalate)
16,0.6915991020689274,Lead(II) sulfide/Poly(butylene terephthalate)
1,0.6508450024751983,Lamp black/Poly(butylene terephthalate)
2,0.4025284722751913,Lamp black/Poly(butylene terephthalate)
6,0.027475590040902137,Lamp black/Poly(butylene terephthalate)
8,-0.04426495433325961,Lamp black/Poly(butylene terephthalate)
11,-0.10129762713563487,Lamp black/Poly(butylene terephthalate)
12,-0.1150315616039313,Lamp black/Poly(butylene terephthalate)
16,-0.13296025026448888,Lamp black/Poly(butylene terephthalate)
