Shear Rate (1/s),Magnetic Anisotropy (J/m³)
1,3.394413070961579,0.64% graphite nanoplates
6,3.3322464351817724,0.64% graphite nanoplates
7,3.2189482499131614,0.64% graphite nanoplates
10,3.115356421674717,0.64% graphite nanoplates
15,2.941463645414753,0.64% graphite nanoplates
1,-6.309913411792405,0.58% graphite nanoplates
6,-4.1840493480021035,0.58% graphite nanoplates
7,-5.930624282548876,0.58% graphite nanoplates
10,20.585111463055974,0.58% graphite nanoplates
15,-86.65020248457387,0.58% graphite nanoplates
