Mechanical Strength (MPa),Modulus Of Elasticity (GPa)
3.661756684071571,7.725200164420645,0.74% CCTO
16.44045437704109,7.072105163469077,0.74% CCTO
17.53783079636836,22.63470920608362,0.74% CCTO
18.328699307585946,25.628942850801064,0.74% CCTO
0,8.355687069771033,0.5% CCTO
2,8.365872702351108,0.5% CCTO
11,9.517678242501534,0.5% CCTO
17,22.284393530252384,0.5% CCTO
7,6.61394453165158,0.04% CCTO
9,0.5514197997961077,0.04% CCTO
14,-46.202506313285795,0.04% CCTO
15,41.4811980406394,0.04% CCTO
