Nanoparticle Volume (%),Young’s Modulus (GPa)
0.20224152923231653,5.515646085979913,Poly(caprolactone)
16.778421230943113,4.5657726616651555,Poly(caprolactone)
18.522324696550687,4.562999277033407,Poly(caprolactone)
5.42687033213064,-0.03723881429045739,PBuA
7.815797061490583,2.6190835686909617,PBuA
10.936320826375292,5.812894237413161,PBuA
0,0.25891466052793743,Nylon 6(3)T
16,54.59164112149695,Nylon 6(3)T
19,510.85606610488844,Nylon 6(3)T
1.6900943190515982,2.70259888922972,PA63T
5.252823803785541,2.078123541627268,PA63T
8.806320212673732,2.06463735886298,PA63T
