Dispersing Time (min),Pore Volume (cm³/g)
2.6896348064290665,5.674021801673311,0.2% Colloidal silica/silicone
6.169953267031493,5.375029663075443,0.2% Colloidal silica/silicone
11.262549688760428,5.212879440236121,0.2% Colloidal silica/silicone
12.29859746892341,5.140808263727565,0.2% Colloidal silica/silicone
17.853157376570834,5.037095321547142,0.2% Colloidal silica/silicone
2.6896348064290665,2.58288870686284,0.44% Colloidal silica/silicone
6.169953267031493,7.316206257553919,0.44% Colloidal silica/silicone
11.262549688760428,30.75458603272805,0.44% Colloidal silica/silicone
12.29859746892341,10.9775770299683,0.44% Colloidal silica/silicone
17.853157376570834,-227.05863419127698,0.44% Colloidal silica/silicone
2.6896348064290665,6.7900328422696665,0.97% Colloidal silica/silicone
6.169953267031493,6.435567695935695,0.97% Colloidal silica/silicone
11.262549688760428,6.3410302731551935,0.97% Colloidal silica/silicone
12.29859746892341,6.331305533319303,0.97% Colloidal silica/silicone
17.853157376570834,6.31220719760343,0.97% Colloidal silica/silicone
2.6896348064290665,5.824637596538869,0.72% Colloidal silica/silicone
6.169953267031493,5.40648760581222,0.72% Colloidal silica/silicone
11.262549688760428,5.262532744445519,0.72% Colloidal silica/silicone
12.29859746892341,5.2495016221058055,0.72% Colloidal silica/silicone
17.853157376570834,5.10639917551392,0.72% Colloidal silica/silicone
2.6896348064290665,-2.6421171091028093,0.8% Colloidal silica/silicone
6.169953267031493,0.43281780970246864,0.8% Colloidal silica/silicone
11.262549688760428,14.381575467940808,0.8% Colloidal silica/silicone
12.29859746892341,72.44076336256043,0.8% Colloidal silica/silicone
17.853157376570834,400.59350647688905,0.8% Colloidal silica/silicone
