Synthesis Time (min),Peel Strength (N/m)
0,-5.562750791519794,multi-walled CNT/Nylon 12
4,-1.5396593375678789,multi-walled CNT/Nylon 12
7,-1.7078621108099252,multi-walled CNT/Nylon 12
9,15.465457249825997,multi-walled CNT/Nylon 12
13,5.822358983401459,multi-walled CNT/Nylon 12
15,-184.95479344171343,multi-walled CNT/Nylon 12
17,107.99262872940683,multi-walled CNT/Nylon 12
0,-1.8977375829770087,TiNT/Nylon 12
4,-2.211654191161474,TiNT/Nylon 12
11,-2.585265772688767,TiNT/Nylon 12
12,-2.6570521733633172,TiNT/Nylon 12
15,-2.727718874320924,TiNT/Nylon 12
17,-2.772250268495796,TiNT/Nylon 12
18,-2.792347077098298,TiNT/Nylon 12
0,-5.074936223011212,MWNTs/Nylon 12
2,-5.508944909173284,MWNTs/Nylon 12
6,-5.017262293148171,MWNTs/Nylon 12
7,-6.062947646433678,MWNTs/Nylon 12
10,-4.958222224195316,MWNTs/Nylon 12
14,-0.7312864441123956,MWNTs/Nylon 12
16,5.077758132629951,MWNTs/Nylon 12
