Neutron Flux (n/cm²/s),Specific Viscosity
5.37586203961729,-1.8588610514961206,graphene/Cyclic olefin copolymer
8.097240098637833,-1.9689938492294945,graphene/Cyclic olefin copolymer
9.77336172366201,-1.731118695921071,graphene/Cyclic olefin copolymer
13.840293204733058,3.846798184651485,graphene/Cyclic olefin copolymer
17.379253944073277,6.221141362741799,graphene/Cyclic olefin copolymer
5.37586203961729,5.8899722063647735,Sodium titanate nanotubes/Cyclic olefin copolymer
8.097240098637833,5.629216960693556,Sodium titanate nanotubes/Cyclic olefin copolymer
9.77336172366201,5.59260930747093,Sodium titanate nanotubes/Cyclic olefin copolymer
13.840293204733058,5.479267055312896,Sodium titanate nanotubes/Cyclic olefin copolymer
17.379253944073277,5.439754830541386,Sodium titanate nanotubes/Cyclic olefin copolymer
5.37586203961729,-2.3350712009815298,carbon black/Cyclic olefin copolymer
8.097240098637833,-2.482933227878673,carbon black/Cyclic olefin copolymer
9.77336172366201,-2.515884848066086,carbon black/Cyclic olefin copolymer
13.840293204733058,-2.644525487927897,carbon black/Cyclic olefin copolymer
17.379253944073277,-2.7203417128727,carbon black/Cyclic olefin copolymer
