EV (V),Degradation Temperature (°C)
2,6.209496823388034,Silver hexafluoroantimonate/TGPAP
8,5.78677091520589,Silver hexafluoroantimonate/TGPAP
12,5.748866216391189,Silver hexafluoroantimonate/TGPAP
14,5.705499721197318,Silver hexafluoroantimonate/TGPAP
19,5.575531216498441,Silver hexafluoroantimonate/TGPAP
2,-3.4162206805439443,"Iron(II,III) oxide/TGPAP"
8,-3.7468917950798275,"Iron(II,III) oxide/TGPAP"
12,-3.9321505565424553,"Iron(II,III) oxide/TGPAP"
14,-3.9502979554616426,"Iron(II,III) oxide/TGPAP"
19,-4.06645242456937,"Iron(II,III) oxide/TGPAP"
2,5.093956236223178,Molybdenum Disulfide/TGPAP
8,6.783018923830779,Molybdenum Disulfide/TGPAP
12,9.26586670315169,Molybdenum Disulfide/TGPAP
14,3.0633303067978384,Molybdenum Disulfide/TGPAP
19,3.180937467113681,Molybdenum Disulfide/TGPAP
2,-0.046558772651857705,cellulose nanocrystals/TGPAP
8,-0.026263806528484368,cellulose nanocrystals/TGPAP
12,0.7832521643489767,cellulose nanocrystals/TGPAP
14,-0.09216932702233294,cellulose nanocrystals/TGPAP
19,-3.162831907141056,cellulose nanocrystals/TGPAP
