Aging Temperature (°C),Polarization Resistance (Ω·m²)
1,-4.7801568542404835,0.01% Zirconium dioxide/Nylon 6(3)T
3,-5.454697270803086,0.01% Zirconium dioxide/Nylon 6(3)T
7,-5.573351435997029,0.01% Zirconium dioxide/Nylon 6(3)T
11,-5.697156875474843,0.01% Zirconium dioxide/Nylon 6(3)T
13,-5.707462867989855,0.01% Zirconium dioxide/Nylon 6(3)T
14,-5.715155816945362,0.01% Zirconium dioxide/Nylon 6(3)T
1,-3.4895050208788208,0.37% Zirconium dioxide/Nylon 6(3)T
3,-3.8729188690029193,0.37% Zirconium dioxide/Nylon 6(3)T
7,-4.101544941244825,0.37% Zirconium dioxide/Nylon 6(3)T
11,-4.18338811589366,0.37% Zirconium dioxide/Nylon 6(3)T
13,-4.201313149388014,0.37% Zirconium dioxide/Nylon 6(3)T
14,-4.205453430265171,0.37% Zirconium dioxide/Nylon 6(3)T
1,5.147246673121661,0.42% Zirconium dioxide/Nylon 6(3)T
3,4.859928112427825,0.42% Zirconium dioxide/Nylon 6(3)T
7,4.667793657621226,0.42% Zirconium dioxide/Nylon 6(3)T
11,4.351498001348506,0.42% Zirconium dioxide/Nylon 6(3)T
13,4.322879154927672,0.42% Zirconium dioxide/Nylon 6(3)T
14,4.2952378745453155,0.42% Zirconium dioxide/Nylon 6(3)T
1,-1.2862221704746202,0.4% Zirconium dioxide/Nylon 6(3)T
3,-1.6445676096223807,0.4% Zirconium dioxide/Nylon 6(3)T
7,-1.8844772933035703,0.4% Zirconium dioxide/Nylon 6(3)T
11,-1.9669843253131132,0.4% Zirconium dioxide/Nylon 6(3)T
13,-1.9867817509510415,0.4% Zirconium dioxide/Nylon 6(3)T
14,-1.9899979179945002,0.4% Zirconium dioxide/Nylon 6(3)T
