Volume Fraction (%),Pore Volume (cm³/g)
3,1.3329438598834646,
10,0.9625510643089457,
17,0.9226308087591194,
19,0.9200318385251772,
3,-3.011690807422713,
10,-3.294843967861689,
17,-3.34066929272763,
19,-3.343563791706605,
3,-2.359330700741777,
10,-2.64441244942323,
17,-2.69418934687133,
19,-2.697010819997545,
3,8.356046565809478,
10,8.070059006643172,
17,7.900802059538228,
19,7.875599384985691,
3,-5.975802660077956,
10,-6.268036070008967,
17,-6.310122919588144,
19,-6.3127469632642095,
