Stirring Speed (rpm),Tensile Strength (MPa)
0.3072915084808914,-2.8967480633501763,EPDM
1.955147860657549,-2.7744779497032255,EPDM
10.226471006983049,-2.623397158820419,EPDM
11.229368361714936,2.5537983054846407,EPDM
16.803390565943207,6.371447457444244,EPDM
0.3072915084808914,0.7864038175175787,triglycidyl para-aminophenol
1.955147860657549,1.8381142038171383,triglycidyl para-aminophenol
10.226471006983049,23.251997792777985,triglycidyl para-aminophenol
11.229368361714936,11.110377883721057,triglycidyl para-aminophenol
16.803390565943207,388.01896836319736,triglycidyl para-aminophenol
0.3072915084808914,7.83137373169475,E-SBR
1.955147860657549,8.255775275773168,E-SBR
10.226471006983049,26.488703424464056,E-SBR
11.229368361714936,40.818446151279986,E-SBR
16.803390565943207,20.845428981208187,E-SBR
0.3072915084808914,6.75197329114745,PLA
1.955147860657549,6.351562218307583,PLA
10.226471006983049,5.9306221105818535,PLA
11.229368361714936,5.910060184390859,PLA
16.803390565943207,5.885244193968285,PLA
