Stirring Speed (rpm),Elastic Modulus (GPa)
2.745569337862188,6.721369062924867,PVP
2.7688839180844393,6.630363294943731,PVP
4.212475426053503,6.656647457705347,PVP
5.036530906743282,6.595890832125377,PVP
5.7148692241207,6.551693424937415,PVP
8.408941880933495,6.28746699811829,PVP
11.72245988129622,6.17596009761781,PVP
13.54701729680863,6.1316521611190975,PVP
2.745569337862188,6.642398100981971,CNBR
2.7688839180844393,6.518972765958557,CNBR
4.212475426053503,9.677238154705417,CNBR
5.036530906743282,8.810929790611715,CNBR
5.7148692241207,11.630138008009702,CNBR
8.408941880933495,19.671514979507613,CNBR
11.72245988129622,59.23504847503274,CNBR
13.54701729680863,29.04728626723513,CNBR
2.745569337862188,5.173477611259151,DGEBA Epoxy Resin
2.7688839180844393,5.021262534760723,DGEBA Epoxy Resin
4.212475426053503,4.958251377114346,DGEBA Epoxy Resin
5.036530906743282,4.918744178494587,DGEBA Epoxy Resin
5.7148692241207,4.824560214793729,DGEBA Epoxy Resin
8.408941880933495,4.751335504309791,DGEBA Epoxy Resin
11.72245988129622,4.711914598712135,DGEBA Epoxy Resin
13.54701729680863,4.6994139798119585,DGEBA Epoxy Resin
2.745569337862188,-0.23022000078152083,PA 8
2.7688839180844393,-0.1560148810035471,PA 8
4.212475426053503,-0.3073875523019356,PA 8
5.036530906743282,-0.5008414923505942,PA 8
5.7148692241207,-0.43622581985752384,PA 8
8.408941880933495,-0.5247624103933333,PA 8
11.72245988129622,-0.660853663395402,PA 8
13.54701729680863,-0.7107188436427172,PA 8
