Crosslinking Density (mol/m³),Thermal Diffusivity (mm²/s)
6.599839027574594,5.645734476918738,0.97% Graphite oxide
8.269431714288064,5.544104631379285,0.97% Graphite oxide
17.403279627061362,5.2789309161911255,0.97% Graphite oxide
17.811270343940546,5.2705894604577,0.97% Graphite oxide
6.599839027574594,-0.3503807694471366,0.64% Graphite oxide
8.269431714288064,-1.684427014669466,0.64% Graphite oxide
17.403279627061362,2.3120334885838005,0.64% Graphite oxide
17.811270343940546,-7.774769792807836,0.64% Graphite oxide
6.599839027574594,-2.139987618580438,0.89% Graphite oxide
8.269431714288064,-2.239560981491467,0.89% Graphite oxide
17.403279627061362,-2.539989851133576,0.89% Graphite oxide
17.811270343940546,-2.5497317663246784,0.89% Graphite oxide
