Particle Size (nm),Ionic Conductivity (S/m)
4.284794517803736,2.2287033129048575,PA 12
6.146550147118415,2.958845121213001,PA 12
14.895270027239372,-0.6692364382497313,PA 12
14.985832124179579,0.8996595391106208,PA 12
19.774998742271208,21.36065365839791,PA 12
4.891434649869626,-1.8401968912667415,PAN
5.401088552314512,-1.8865396212014056,PAN
7.00770917903345,-1.9720808548089233,PAN
12.597677898820507,-2.067003227691686,PAN
18.549709205135436,-2.0855072631331795,PAN
2.5153213484275705,7.957339025621246,Poly(benzoxazine)
9.329372111403607,46.36074399092517,Poly(benzoxazine)
11.103785948171222,41.69775522523578,Poly(benzoxazine)
14.209664668601595,75.42213968376211,Poly(benzoxazine)
18.327754923069474,412.9157257483173,Poly(benzoxazine)
