Solvent Concentration (M),Conductivity (S/m)
0,7.329102432938461,PCTFE
7,17.61661526390229,PCTFE
10,30.95964831646291,PCTFE
14,50.51309570617684,PCTFE
16,131.69544912089447,PCTFE
18,139.83057351668657,PCTFE
0,6.993712922804713,PVAC
7,14.525672194429378,PVAC
10,25.485586326302958,PVAC
14,72.13852939738817,PVAC
16,315.922137196535,PVAC
18,295.92522854042306,PVAC
0,7.805677758886038,PA 66
7,6.807270244182619,PA 66
10,6.566833473321692,PA 66
14,6.526351378671343,PA 66
16,6.466619284785397,PA 66
18,6.416130705019684,PA 66
0,-4.951289442509772,Poly(styrene-b-butadiene)
7,-5.8426906183636245,Poly(styrene-b-butadiene)
10,-5.895177157050982,Poly(styrene-b-butadiene)
14,-5.9335358141056105,Poly(styrene-b-butadiene)
16,-5.941022182962461,Poly(styrene-b-butadiene)
18,-5.9441784385442675,Poly(styrene-b-butadiene)
0,3.687263274161026,PHEA
7,2.9550213864279615,PHEA
10,2.9179559094917598,PHEA
14,2.8808330431364078,PHEA
16,2.8743448252538966,PHEA
18,2.870483333719922,PHEA
