pH,Thermal Conductivity (W/(m·K))
2.843368827450068,-5.034074550028064,Barium titanate/P2VP
13.284696073548128,1.8515750675763591,Barium titanate/P2VP
14.78694978499749,0.06532557954964169,Barium titanate/P2VP
18.656726854658675,-4.527706084508481,Barium titanate/P2VP
2.843368827450068,3.435441678575651,Dodecylbenzenesulfonic acid/P2VP
13.284696073548128,7.3871328414089446,Dodecylbenzenesulfonic acid/P2VP
14.78694978499749,2.5795966621823165,Dodecylbenzenesulfonic acid/P2VP
18.656726854658675,3.530389667603668,Dodecylbenzenesulfonic acid/P2VP
2.843368827450068,-2.224132044599711,Acetylene black/P2VP
13.284696073548128,-2.537006643456784,Acetylene black/P2VP
14.78694978499749,-2.542647593874212,Acetylene black/P2VP
18.656726854658675,-2.5508342833879922,Acetylene black/P2VP
2.843368827450068,-3.3759264097749835,silver hexafluoroantimonate/P2VP
13.284696073548128,-3.954107824438756,silver hexafluoroantimonate/P2VP
14.78694978499749,-3.9936381676237653,silver hexafluoroantimonate/P2VP
18.656726854658675,-4.071385987858606,silver hexafluoroantimonate/P2VP
