pH,Magnetic Permeability (H/m)
2,-1.34267797752003,TPU
3,-1.2257813107153939,TPU
8,0.1549067871599834,TPU
12,-3.08721882605633,TPU
14,-2.3507867966054734,TPU
18,7.854303927748337,TPU
2,4.081414649324401,PS
3,4.1941510964214395,PS
8,4.65329612467562,PS
12,5.410863724944818,PS
14,10.310205543328976,PS
18,10.123890154364725,PS
2,-7.361958258957663,Poly(ethyl methacrylate)
3,-7.43108067463548,Poly(ethyl methacrylate)
8,-7.683916340414893,Poly(ethyl methacrylate)
12,-7.758002841670396,Poly(ethyl methacrylate)
14,-7.770079757488864,Poly(ethyl methacrylate)
18,-7.781163318969487,Poly(ethyl methacrylate)
2,-5.081486666361102,Poly(vinyl pyrrolidone)
3,-4.302869815672376,Poly(vinyl pyrrolidone)
8,4.813383504812959,Poly(vinyl pyrrolidone)
12,19.141621638594017,Poly(vinyl pyrrolidone)
14,37.83435370378748,Poly(vinyl pyrrolidone)
18,383.63057678005447,Poly(vinyl pyrrolidone)
