Thermal Diffusivity (mm²/s),Fatigue Strength (MPa)
1.6639462141276429,-3.663373552365962,
2.3214820840841988,-2.5242418855527418,
8.486818207124145,-1.4114442197154018,
10.71898780247102,1.3915569955981244,
11.460271112260008,-1.801857454514781,
1.6639462141276429,3.2234277924024455,
2.3214820840841988,2.9130387578068504,
8.486818207124145,2.7056976935780437,
10.71898780247102,2.664156864136571,
11.460271112260008,2.652870188673289,
1.6639462141276429,4.908935682245831,
2.3214820840841988,5.034237290075225,
8.486818207124145,4.607367322636214,
10.71898780247102,4.520424360372895,
11.460271112260008,4.4895069804310745,
1.6639462141276429,-0.6193800763867554,
2.3214820840841988,-0.6591514043697666,
8.486818207124145,12.542627774259358,
10.71898780247102,6.344239209636942,
11.460271112260008,36.65039715330631,
1.6639462141276429,5.850692638924089,
2.3214820840841988,5.790277055655718,
8.486818207124145,5.298640232375606,
10.71898780247102,5.261926676694318,
11.460271112260008,5.259295858775636,
