Nanoparticle Volume (%),Flexural Modulus (GPa)
6,1.7169545589417834,talc/PEEK
11,1.4610871086436454,talc/PEEK
12,1.421900266711376,talc/PEEK
18,1.3043523009264768,talc/PEEK
6,6.163845252511113,Carbon nanofibers/PEEK
11,7.6488965885116595,Carbon nanofibers/PEEK
12,3.6612031767898476,Carbon nanofibers/PEEK
18,11.311786536563254,Carbon nanofibers/PEEK
6,2.8705957938072313,Gold/PEEK
11,2.7178629637718275,Gold/PEEK
12,2.76871854943778,Gold/PEEK
18,2.597232138575841,Gold/PEEK
6,11.082384031780894,PVA/PEEK
11,73.82970641664852,PVA/PEEK
12,47.33964087891961,PVA/PEEK
18,7.913727838711834,PVA/PEEK
