Ultrasound Power (W),Surface Area (m²/g)
3,-3.7658613966702053,0.08% single-walled CNT
7,-3.9800115062804275,0.08% single-walled CNT
12,-0.0006307761447530424,0.08% single-walled CNT
13,3.738954763043129,0.56% single-walled CNT
14,5.782118504910899,0.56% single-walled CNT
15,15.993794961888428,0.56% single-walled CNT
3.605971281377567,-7.129102237673167,0.95% single-walled CNT
9.165594914692495,-7.469199470271621,0.95% single-walled CNT
18.483398678088946,-7.526147066388487,0.95% single-walled CNT
4.744165001031826,1.8656158483629612,0.83% single-walled CNT
6.675830783775405,7.50720735668436,0.83% single-walled CNT
14.564424976494665,89.65918500255228,0.83% single-walled CNT
9,25.932714285391697,0.73% single-walled CNT
11,37.39782763684423,0.73% single-walled CNT
16,278.58323733271243,0.73% single-walled CNT
