Filler Content (%),Reduction Potential (V)
7,9.502124053954102,rGO/ABS
9,12.331949135590724,rGO/ABS
16,164.85523172918815,rGO/ABS
7,7.915731180152205,SWNT/ABS
9,21.19930463605326,SWNT/ABS
16,241.4751289961578,SWNT/ABS
7,-3.923404240824654,Silicon dioxide/ABS
9,-3.95142723880605,Silicon dioxide/ABS
16,-4.15209063179233,Silicon dioxide/ABS
7,-4.359915461695788,Methoxy(dimethyl)octylsilane/ABS
9,-4.424111280777905,Methoxy(dimethyl)octylsilane/ABS
16,-4.485290074462339,Methoxy(dimethyl)octylsilane/ABS
7,-0.8556714158453307,Poly(acrylonitrile)/ABS
9,-0.9288055362868872,Poly(acrylonitrile)/ABS
16,-0.987622282367549,Poly(acrylonitrile)/ABS
