Heat Treatment Time (h),Polarization Resistance (Ω·m²)
3,4.655570497796217,0.85% Silver nitrate/Nylon 6
7,6.9398351567312915,0.85% Silver nitrate/Nylon 6
8,7.159270546207815,0.85% Silver nitrate/Nylon 6
13,8.903457137505724,0.85% Silver nitrate/Nylon 6
14,4.621201071763197,0.85% Silver nitrate/Nylon 6
17,6.427880134393984,0.85% Silver nitrate/Nylon 6
2.1746102099281295,-7.060365132941841,1.0% Silver nitrate/Nylon 6
2.178787111965137,-6.827768378793778,1.0% Silver nitrate/Nylon 6
4.220915010303328,-7.112683399280758,1.0% Silver nitrate/Nylon 6
12.054299524181252,-7.458379022933773,1.0% Silver nitrate/Nylon 6
13.14826351368607,-7.468246273064632,1.0% Silver nitrate/Nylon 6
13.380509824892965,-7.4713349428994125,1.0% Silver nitrate/Nylon 6
0,-1.2496242365360906,0.46% Silver nitrate/Nylon 6
3,-2.1114228967204602,0.46% Silver nitrate/Nylon 6
5,-2.2818441496325654,0.46% Silver nitrate/Nylon 6
11,-2.493612518609524,0.46% Silver nitrate/Nylon 6
13,-2.5079034956941646,0.46% Silver nitrate/Nylon 6
15,-2.517340248035092,0.46% Silver nitrate/Nylon 6
