Aging Time (h),Corrosion Rate (mm/year)
9,3.1775144026015374,0.93% Molybdenum Disulphide/TGDDM
10,4.080422129978576,0.93% Molybdenum Disulphide/TGDDM
14,1.5688580886562997,0.93% Molybdenum Disulphide/TGDDM
9,3.562806788045446,1.0% Molybdenum Disulphide/TGDDM
10,2.6071629914210326,1.0% Molybdenum Disulphide/TGDDM
14,7.37079245415066,1.0% Molybdenum Disulphide/TGDDM
9,3.299189882715428,0.25% Molybdenum Disulphide/TGDDM
10,12.839066174866591,0.25% Molybdenum Disulphide/TGDDM
14,74.91618106525097,0.25% Molybdenum Disulphide/TGDDM
9,1.2312558232767719,0.01% Molybdenum Disulphide/TGDDM
10,1.2167268608792217,0.01% Molybdenum Disulphide/TGDDM
14,1.1813174745926878,0.01% Molybdenum Disulphide/TGDDM
9,4.700353518417757,0.33% Molybdenum Disulphide/TGDDM
10,7.0651639156180135,0.33% Molybdenum Disulphide/TGDDM
14,7.992890821865122,0.33% Molybdenum Disulphide/TGDDM
