UV Exposure Time (h),Elastic Modulus (GPa)
1.377822626862204,-0.5836053144804116,Clay/PRX
3.151473675665577,-0.9279510040291608,Clay/PRX
8.899528914325458,-0.364436839656594,Clay/PRX
13.541435674070337,-2.3863078718296484,Clay/PRX
0.2977571231095699,5.939933091578714,graphite oxide/PRX
8.048486394416143,9.059865951325827,graphite oxide/PRX
13.486382817490195,7.164408161990198,graphite oxide/PRX
19.84413540412611,21.422992677406256,graphite oxide/PRX
1,-3.5762445084501824,multi-wall carbon nanotubes/PRX
2,-2.850592761508935,multi-wall carbon nanotubes/PRX
11,20.957877690133795,multi-wall carbon nanotubes/PRX
13,-5.155086555804161,multi-wall carbon nanotubes/PRX
3.2716940672231276,9.015401398643968,Organophilic clay/PRX
5.716323904785039,9.149392865116369,Organophilic clay/PRX
9.570647070696577,8.542135464184701,Organophilic clay/PRX
9.849685010866773,12.411883067791653,Organophilic clay/PRX
2,-1.3511859873517629,graphite nanoplatelets/PRX
9,9.931838540085367,graphite nanoplatelets/PRX
12,25.578889920394158,graphite nanoplatelets/PRX
17,204.75849312074752,graphite nanoplatelets/PRX
