Loading Concentration (%),Peel Strength (N/m)
3.225355620876853,-0.6972162897302656,CNBR
6.939482578755403,-0.879329785735701,CNBR
12.131440322971162,-1.0129075926732583,CNBR
18.17987478110533,-1.1484662439829545,CNBR
19.13659599969264,-1.1677450991116274,CNBR
3.225355620876853,-5.28747306670558,EPDM rubber
6.939482578755403,-3.7180621339824826,EPDM rubber
12.131440322971162,0.35672430599785443,EPDM rubber
18.17987478110533,1.1537584093284217,EPDM rubber
19.13659599969264,12.11913930979638,EPDM rubber
3.225355620876853,-3.495381656535895,PnBA
6.939482578755403,-3.298052500883173,PnBA
12.131440322971162,-4.255009095795792,PnBA
18.17987478110533,-5.172340183560619,PnBA
19.13659599969264,-7.109022140392289,PnBA
3.225355620876853,1.1641326435131052,aPP
6.939482578755403,0.6995265335381105,aPP
12.131440322971162,4.181092130495809,aPP
18.17987478110533,3.042132131272586,aPP
19.13659599969264,-1.277814814664893,aPP
3.225355620876853,6.167789619386494,PBA
6.939482578755403,6.882767327854831,PBA
12.131440322971162,8.302772464185162,PBA
18.17987478110533,7.014082710406862,PBA
19.13659599969264,6.8205496387541045,PBA
