Synthesis Temperature (°C),Young’s Modulus (GPa)
0,4.584827446794,0.6% barium titanate/PA 8
3,4.155877412697221,0.6% barium titanate/PA 8
4,6.844364729138613,0.6% barium titanate/PA 8
5,2.6678128567257096,0.6% barium titanate/PA 8
9,2.5587346851542208,0.6% barium titanate/PA 8
0,3.3800936171574474,0.82% barium titanate/PA 8
3,4.1544211112856955,0.82% barium titanate/PA 8
4,6.601972375249415,0.82% barium titanate/PA 8
5,4.6268885921643506,0.82% barium titanate/PA 8
9,13.417152375146433,0.82% barium titanate/PA 8
0,-3.3515311540609845,0.41% barium titanate/PA 8
3,-3.1520369941254693,0.41% barium titanate/PA 8
4,-3.1819414252486355,0.41% barium titanate/PA 8
5,-3.397884049606815,0.41% barium titanate/PA 8
9,-3.536378831295333,0.41% barium titanate/PA 8
0,6.50368288697553,0.54% barium titanate/PA 8
3,6.153745090696602,0.54% barium titanate/PA 8
4,6.180256624684476,0.54% barium titanate/PA 8
5,6.207311633707086,0.54% barium titanate/PA 8
9,6.032745541376717,0.54% barium titanate/PA 8
0,0.03227805977055709,0.66% barium titanate/PA 8
3,0.9104979100499468,0.66% barium titanate/PA 8
4,2.438612459776983,0.66% barium titanate/PA 8
5,4.270297740655572,0.66% barium titanate/PA 8
9,7.083830564103662,0.66% barium titanate/PA 8
