Aging Temperature (°C),Crystallinity (%)
2,-3.251217288909568,0.85% Graphite Nanoplatelets
5,-2.473934223663547,0.85% Graphite Nanoplatelets
7,-1.781787561382437,0.85% Graphite Nanoplatelets
10,1.436418086445821,0.85% Graphite Nanoplatelets
14,-1.9265523313032897,0.85% Graphite Nanoplatelets
18,9.847611585297146,0.85% Graphite Nanoplatelets
2,-1.3181255452814886,0.04% Graphite Nanoplatelets
5,-1.6259624894669682,0.04% Graphite Nanoplatelets
7,-1.740545194757606,0.04% Graphite Nanoplatelets
10,-1.820966838198692,0.04% Graphite Nanoplatelets
14,-1.861153010836691,0.04% Graphite Nanoplatelets
18,-1.8721029410234833,0.04% Graphite Nanoplatelets
2,3.2458882151168944,0.47% Graphite Nanoplatelets
5,3.1390995829129587,0.47% Graphite Nanoplatelets
7,3.0105991991621885,0.47% Graphite Nanoplatelets
10,2.8495211156248414,0.47% Graphite Nanoplatelets
14,2.7181994716672397,0.47% Graphite Nanoplatelets
18,2.652868146992752,0.47% Graphite Nanoplatelets
2,3.1135028626629557,0.63% Graphite Nanoplatelets
5,2.9887648934319504,0.63% Graphite Nanoplatelets
7,4.096279218216877,0.63% Graphite Nanoplatelets
10,6.723868467438271,0.63% Graphite Nanoplatelets
14,3.031242884249125,0.63% Graphite Nanoplatelets
18,15.969593767672318,0.63% Graphite Nanoplatelets
2,5.965934752778606,0.21% Graphite Nanoplatelets
5,5.846614491192647,0.21% Graphite Nanoplatelets
7,5.61102153997615,0.21% Graphite Nanoplatelets
10,5.5308620219560645,0.21% Graphite Nanoplatelets
14,5.389085736866685,0.21% Graphite Nanoplatelets
18,5.302395225024895,0.21% Graphite Nanoplatelets
