vol%,Magnetic Susceptibility
2,3.245370712635399,PnBA
6,5.265393717812295,PnBA
13,2.951085552005204,PnBA
17,1.0603306604338156,PnBA
1.2975396468270795,-4.822865484686686,Polyphenylsulfone
3.573854222177668,-4.256141774101342,Polyphenylsulfone
8.33072195989249,-0.16595649130501844,Polyphenylsulfone
13.44924478125559,82.25116395826096,Polyphenylsulfone
3.857569252760238,-5.443490344738139,PVAc
5.232110533257961,-5.608347122418589,PVAc
12.618926106687645,-5.873234182065731,PVAc
19.380546241073496,-5.9998801697450865,PVAc
9,9.18429218342528,P4VP
11,7.066356398069193,P4VP
13,10.898754169123432,P4VP
16,19.345484352170246,P4VP
1.8755077327676073,5.842976120464964,P4VP
3.890278291485505,8.271864787725436,P4VP
7.681284397428129,11.433519278345264,P4VP
12.99777871178019,75.54253500571546,P4VP
