Particle Size (nm),Polarization Resistance (Ω·m²)
1,9.322261652326555,PBAT
2,8.896832708624645,PBAT
11,10.708809901292462,PBAT
14,9.621970171720037,PBAT
1,-1.3699082908624631,Acrylonitrile butadiene styrene
2,-1.3661428760929044,Acrylonitrile butadiene styrene
11,-1.6639823391481166,Acrylonitrile butadiene styrene
14,-1.761883635958878,Acrylonitrile butadiene styrene
1,-1.43073071333106,Poly(hexafluoro propylene)
2,-1.6249841419567561,Poly(hexafluoro propylene)
11,-2.2572464681495354,Poly(hexafluoro propylene)
14,-2.358687364589855,Poly(hexafluoro propylene)
1,-1.7331370133569692,Poly(acrylamide)
2,-1.8621617167627966,Poly(acrylamide)
11,-2.4266796047898818,Poly(acrylamide)
14,-2.449858542912743,Poly(acrylamide)
