Thickness (µm),Impact Strength (kJ/m²)
0.5050548301922086,6.719699524308652,0.13% Clay/PCTFE
7.531245077575244,6.324439034051851,0.13% Clay/PCTFE
9.682878768438353,6.251283069952224,0.13% Clay/PCTFE
17.23997666596617,6.060105728794353,0.13% Clay/PCTFE
1.545531852912596,6.60688373107255,0.79% Clay/PCTFE
2.150235305072179,6.38435733057865,0.79% Clay/PCTFE
4.609266679353119,5.9798496332865545,0.79% Clay/PCTFE
10.884211994157075,5.769041089276466,0.79% Clay/PCTFE
4,3.4337043665766314,0.54% Clay/PCTFE
6,3.0647201568728164,0.54% Clay/PCTFE
8,2.98403605446414,0.54% Clay/PCTFE
11,2.8950387567150515,0.54% Clay/PCTFE
