Holding Time (min),Peel Strength (N/m)
7.24343436001285,-4.661045495624715,0.24% zinc oxide/Poly(styrene-b-butadiene)
8.360428601222068,-4.783200571532761,0.24% zinc oxide/Poly(styrene-b-butadiene)
9.424250338874021,-4.792856154589914,0.24% zinc oxide/Poly(styrene-b-butadiene)
11.583442725303083,-4.87687093613251,0.24% zinc oxide/Poly(styrene-b-butadiene)
11.808512797630183,-4.875541700352975,0.24% zinc oxide/Poly(styrene-b-butadiene)
0,8.034587202951618,0.36% zinc oxide/Poly(styrene-b-butadiene)
4,7.674070550082861,0.36% zinc oxide/Poly(styrene-b-butadiene)
11,7.429601804563697,0.36% zinc oxide/Poly(styrene-b-butadiene)
12,7.387780802604765,0.36% zinc oxide/Poly(styrene-b-butadiene)
14,7.349956697963922,0.36% zinc oxide/Poly(styrene-b-butadiene)
