Degradation Temperature (°C),Thermal Conductivity (W/(m·K))
0,1.0510507709805432,0.06% Molybdenum Disulfide/SAN24
5,0.41390073214568324,0.06% Molybdenum Disulfide/SAN24
12,0.2173178044282049,0.06% Molybdenum Disulfide/SAN24
14,0.20369496828312195,0.06% Molybdenum Disulfide/SAN24
17,0.1942208199052008,0.06% Molybdenum Disulfide/SAN24
3,-1.3160561040374292,0.35% Molybdenum Disulfide/SAN24
4,-1.2567928980607392,0.35% Molybdenum Disulfide/SAN24
11,1.0962286030446209,0.35% Molybdenum Disulfide/SAN24
12,0.041216339122026824,0.35% Molybdenum Disulfide/SAN24
19,-15.588516358970127,0.35% Molybdenum Disulfide/SAN24
0.03483661370628388,1.715871994736926,0.02% Molybdenum Disulfide/SAN24
4.216452096092748,3.0218660845343956,0.02% Molybdenum Disulfide/SAN24
4.467899935975195,4.149776777156977,0.02% Molybdenum Disulfide/SAN24
10.080309318252056,35.2482953960133,0.02% Molybdenum Disulfide/SAN24
16.495152739427038,295.6395031629356,0.02% Molybdenum Disulfide/SAN24
