Hardness (HV),Bulk Modulus (GPa)
16.6598583850862,-6.989597597134329,0.41% Calcium copper titanate
17.98460598955303,-6.991721777531419,0.41% Calcium copper titanate
18.567630386092365,-6.992133817957796,0.41% Calcium copper titanate
16.6598583850862,-2.102712590550687,0.48% Calcium copper titanate
17.98460598955303,-2.105129375437162,0.48% Calcium copper titanate
18.567630386092365,-2.105539314115214,0.48% Calcium copper titanate
16.6598583850862,5.890424283587886,0.37% Calcium copper titanate
17.98460598955303,5.757625484445651,0.37% Calcium copper titanate
18.567630386092365,5.388308616222701,0.37% Calcium copper titanate
16.6598583850862,2.3476660770816555,0.2% Calcium copper titanate
17.98460598955303,2.3458062849485413,0.2% Calcium copper titanate
18.567630386092365,2.3450946128592673,0.2% Calcium copper titanate
16.6598583850862,7.430409349977223,0.66% Calcium copper titanate
17.98460598955303,3.912140529187168,0.66% Calcium copper titanate
18.567630386092365,-6.118775591486409,0.66% Calcium copper titanate
