Decomposition Temperature (°C),Fatigue Strength (MPa)
0,4.253696265380653,0.11% Silver
5,4.777045507630724,0.11% Silver
8,6.285450205261261,0.11% Silver
14,8.788028187862237,0.11% Silver
0,4.481455479996314,0.27% Silver
5,4.088053652962297,0.27% Silver
8,3.9860760691900126,0.27% Silver
14,3.764003078736037,0.27% Silver
0,-4.695260333610046,0.3% Silver
5,-4.079609934180961,0.3% Silver
8,-1.4375415560320892,0.3% Silver
14,-2.4514469022459013,0.3% Silver
0,-4.695624556706003,0.33% Silver
5,-4.212017651866621,0.33% Silver
8,5.8232752069540545,0.33% Silver
14,-2.706159731592889,0.33% Silver
