Particle Density,Flexural Strength (MPa)
9.709279457217779,-4.039327740883889,
13.474772987935037,-4.079350429729675,
18.253853884766503,-4.091683215881377,
9.720959213081894,30.89035583443242,
10.628525042756404,22.733920981427794,
10.663869149533278,40.298903568446846,
0.18555313922113736,7.532207213093828,
8.466527801887644,9.515997886203632,
19.18880712195356,9.901383870448221,
5,7.770190012587239,
8,22.060183578449614,
9,19.932662220002495,
8,15.160251328759108,
15,39.170233829529415,
17,167.31352313797464,
