Loading Concentration (%),Coefficient Of Thermal Expansion (1/K)
1,-3.3313773362929613,PA 6(3)T
3,-3.4002567591042876,PA 6(3)T
5,-3.6464783536247594,PA 6(3)T
6,-3.729235138671431,PA 6(3)T
19,-4.140740784769511,PA 6(3)T
1,8.966139831711974,Poly(BA-a)
3,8.802462327596809,Poly(BA-a)
5,8.971056970386595,Poly(BA-a)
6,9.560444982473378,Poly(BA-a)
19,9.523805830597324,Poly(BA-a)
1,-3.672830635587579,PEA
3,-3.9162501143462407,PEA
5,-4.171959260476203,PEA
6,-4.2358544397231706,PEA
19,-4.399962987486241,PEA
1,6.417167447153811,Poly(tetrafluoroethylene)
3,6.866658997971209,Poly(tetrafluoroethylene)
5,12.273939869837575,Poly(tetrafluoroethylene)
6,12.930022859003337,Poly(tetrafluoroethylene)
19,138.90587290619928,Poly(tetrafluoroethylene)
