Mechanical Strength (MPa),X-ray Diffraction Intensity
0.956995352597847,2.469321996620585,Poly(bisphenol A carbonate)
1.1644654713044766,1.963759425916125,Poly(bisphenol A carbonate)
12.392605751679254,6.6547496893849125,Poly(bisphenol A carbonate)
19.022880069095397,7.556565731123676,Poly(bisphenol A carbonate)
19.701463030312635,20.676360460024128,Poly(bisphenol A carbonate)
0.956995352597847,2.4830081565964597,P(VDF-CTFE)
1.1644654713044766,2.170644496623237,P(VDF-CTFE)
12.392605751679254,1.562639860479596,P(VDF-CTFE)
19.022880069095397,1.5419242397856445,P(VDF-CTFE)
19.701463030312635,1.5414583658298369,P(VDF-CTFE)
0.956995352597847,-1.813612466794782,PαMS
1.1644654713044766,-1.3613777553372826,PαMS
12.392605751679254,73.51941000160203,PαMS
19.022880069095397,-606.827584510663,PαMS
19.701463030312635,231.88535188956232,PαMS
