Thickness (µm),Heat Of Fusion (J/g)
3.188148431861677,1.2138874426492383,
6.993690918923933,2.1422834532807937,
8.635858193271131,1.4091430067358832,
10.852639908287031,-0.7971953497978053,
15.857799621272555,9.075001462193953,
3.188148431861677,-2.092780080464288,
6.993690918923933,-2.467569128513351,
8.635858193271131,-2.4541229906219497,
10.852639908287031,-2.5959108263846304,
15.857799621272555,-2.700930455317218,
3.188148431861677,-6.528095119134818,
6.993690918923933,-6.8165224075814885,
8.635858193271131,-6.845617401171751,
10.852639908287031,-6.888507455865269,
15.857799621272555,-6.915760529188949,
