Reaction Temperature (°C),Bulk Modulus (GPa)
0,-5.053770704493551,0.2% OMMT/PAN
11,-5.525591112742058,0.2% OMMT/PAN
13,-5.581026388616002,0.2% OMMT/PAN
15,-5.6230194333888,0.2% OMMT/PAN
0,0.3372175225924712,0.04% OMMT/PAN
11,31.154594424454586,0.04% OMMT/PAN
13,5.145818943850207,0.04% OMMT/PAN
15,38.52288297141259,0.04% OMMT/PAN
0,5.632871688187532,0.12% OMMT/PAN
11,4.830458346935636,0.12% OMMT/PAN
13,4.805498318435565,0.12% OMMT/PAN
15,4.7685269398913475,0.12% OMMT/PAN
0,6.251421298963031,0.46% OMMT/PAN
11,21.414536869230815,0.46% OMMT/PAN
13,38.838280286197495,0.46% OMMT/PAN
15,38.63410299614041,0.46% OMMT/PAN
0,8.663220042372146,0.4% OMMT/PAN
11,7.4369565541547615,0.4% OMMT/PAN
13,10.19874283771486,0.4% OMMT/PAN
15,16.750084565011303,0.4% OMMT/PAN
