Storage Time (days),Flexural Strength (MPa)
1,1.119799725413479,0.14% carbon nanotube/PA 6(3)T
4,2.1224515138364075,0.14% carbon nanotube/PA 6(3)T
8,3.3636178672730397,0.14% carbon nanotube/PA 6(3)T
11,5.191059481486473,0.14% carbon nanotube/PA 6(3)T
18,4.122436464313047,0.14% carbon nanotube/PA 6(3)T
1,-4.956941125718299,0.84% carbon nanotube/PA 6(3)T
4,-1.7045060385033626,0.84% carbon nanotube/PA 6(3)T
8,4.41990452515396,0.84% carbon nanotube/PA 6(3)T
11,-1.7092389455689236,0.84% carbon nanotube/PA 6(3)T
18,-276.63247863124855,0.84% carbon nanotube/PA 6(3)T
