Synthesis Temperature (°C),Elastic Modulus (GPa)
0.022388428708357555,6.9560068086653395,0.27% octyldimethylmethoxysilane/VER
0.3802875704540942,7.0621836748782325,0.27% octyldimethylmethoxysilane/VER
2.197928303639247,6.607506184327735,0.27% octyldimethylmethoxysilane/VER
10.284423303331081,6.149639430023554,0.27% octyldimethylmethoxysilane/VER
10.318650094237574,6.144501643517202,0.27% octyldimethylmethoxysilane/VER
13.163511361519696,6.1183806679375925,0.27% octyldimethylmethoxysilane/VER
16.312087239973945,6.108198826159298,0.27% octyldimethylmethoxysilane/VER
0,5.599969329146061,0.07% octyldimethylmethoxysilane/VER
4,4.734564594205095,0.07% octyldimethylmethoxysilane/VER
7,4.614071407717704,0.07% octyldimethylmethoxysilane/VER
9,4.563378969510573,0.07% octyldimethylmethoxysilane/VER
12,4.51725468579588,0.07% octyldimethylmethoxysilane/VER
14,4.5031967775060275,0.07% octyldimethylmethoxysilane/VER
16,4.495072444474129,0.07% octyldimethylmethoxysilane/VER
2,4.189029714185882,0.1% octyldimethylmethoxysilane/VER
6,5.8290517622388816,0.1% octyldimethylmethoxysilane/VER
11,5.00366067084682,0.1% octyldimethylmethoxysilane/VER
12,7.85587908976399,0.1% octyldimethylmethoxysilane/VER
13,7.228413768066465,0.1% octyldimethylmethoxysilane/VER
14,14.11969106219116,0.1% octyldimethylmethoxysilane/VER
15,9.488755367466673,0.1% octyldimethylmethoxysilane/VER
3.98095365203216,-0.60569468272528,0.66% octyldimethylmethoxysilane/VER
8.122752096001422,7.659390629837656,0.66% octyldimethylmethoxysilane/VER
8.632986464136415,4.9791483703759765,0.66% octyldimethylmethoxysilane/VER
9.088819433417912,17.943006807182684,0.66% octyldimethylmethoxysilane/VER
10.92361577652717,46.10643897985774,0.66% octyldimethylmethoxysilane/VER
11.027171330094333,-0.8690130706986174,0.66% octyldimethylmethoxysilane/VER
16.779387438064873,322.3378512132074,0.66% octyldimethylmethoxysilane/VER
0,3.408185508899847,0.23% octyldimethylmethoxysilane/VER
4,2.938450403869867,0.23% octyldimethylmethoxysilane/VER
6,2.9000925891218508,0.23% octyldimethylmethoxysilane/VER
9,2.76348702988986,0.23% octyldimethylmethoxysilane/VER
14,2.6351923197634863,0.23% octyldimethylmethoxysilane/VER
17,2.571477873024307,0.23% octyldimethylmethoxysilane/VER
18,2.5495366108772606,0.23% octyldimethylmethoxysilane/VER
