Loading Concentration (%),Dynamic Viscosity (Pa·s)
0.5295145642822074,0.4243868153072432,
4.496482805463873,-0.381307761757835,
10.879837181025067,-0.6037791316594597,
11.143578625650656,-0.6053181459934848,
13.04774202127719,-0.6216915519260591,
7,-2.4677161668805443,
8,-1.275751553181038,
9,0.7944854668313326,
11,-1.5882209304736987,
15,-0.2072267074143488,
1.8157193924966553,-2.5121954748641464,
1.947138559594166,-2.7576302979550453,
3.7384505690708636,-1.293323012569291,
12.2526060580519,64.85904382670628,
15.742000843285055,164.2537663575499,
