Glass Transition Temperature (°C),Toughness (MJ/m³)
1.5821158460199358,1.6870171589464054,0.95% SAF/P(VDF-TrFE-CTFE)
6.519227833398446,11.928806174322647,0.95% SAF/P(VDF-TrFE-CTFE)
8.562395336467842,11.482380327850489,0.95% SAF/P(VDF-TrFE-CTFE)
12.345376277488256,20.782374886112358,0.95% SAF/P(VDF-TrFE-CTFE)
1.5821158460199358,7.150324780589713,0.15% SAF/P(VDF-TrFE-CTFE)
6.519227833398446,6.741907692455566,0.15% SAF/P(VDF-TrFE-CTFE)
8.562395336467842,6.655212542079439,0.15% SAF/P(VDF-TrFE-CTFE)
12.345376277488256,6.480436169635544,0.15% SAF/P(VDF-TrFE-CTFE)
1.5821158460199358,4.091012304194421,0.19% SAF/P(VDF-TrFE-CTFE)
6.519227833398446,3.61590269542718,0.19% SAF/P(VDF-TrFE-CTFE)
8.562395336467842,3.5379473323536232,0.19% SAF/P(VDF-TrFE-CTFE)
12.345376277488256,3.4938662780924163,0.19% SAF/P(VDF-TrFE-CTFE)
1.5821158460199358,-5.641443175460354,0.01% SAF/P(VDF-TrFE-CTFE)
6.519227833398446,-6.094181143130219,0.01% SAF/P(VDF-TrFE-CTFE)
8.562395336467842,-6.1620927110893975,0.01% SAF/P(VDF-TrFE-CTFE)
12.345376277488256,-6.210898841301605,0.01% SAF/P(VDF-TrFE-CTFE)
