Calcination Time (h),Compressive Modulus (GPa)
3.732763288736487,-0.6072215978319371,DGEBD Epoxy Resin
3.9906420069191917,-0.6526564793969025,DGEBD Epoxy Resin
8.990577449362746,1.17793814396774,DGEBD Epoxy Resin
9.166014141170836,0.44686101230834163,DGEBD Epoxy Resin
10.93204460378729,2.0321299081910045,DGEBD Epoxy Resin
3.732763288736487,-4.589736376658527,PET
3.9906420069191917,-4.827789543847538,PET
8.990577449362746,1.4219265290345096,PET
9.166014141170836,5.039807209219374,PET
10.93204460378729,9.785633317280377,PET
