Holding Time (min),Loss Factor
0,-5.156052218373902,0.39% Aluminium dioxide
7,-6.047957793937582,0.39% Aluminium dioxide
8,-6.053125099231121,0.39% Aluminium dioxide
12,-6.127201077399267,0.39% Aluminium dioxide
17,-6.149929710856841,0.39% Aluminium dioxide
4.214112784796454,3.5531316585298027,0.39% Aluminium dioxide
10.029239309090968,36.64536297886904,0.39% Aluminium dioxide
12.573230195460038,19.94341045404021,0.39% Aluminium dioxide
14.95213400380065,-2.0761853880471737,0.39% Aluminium dioxide
17.382213162796944,453.4516139106026,0.39% Aluminium dioxide
