Light Intensity (W/m²),Corrosion Rate (mm/year)
1.0546672922847966,-4.301197878851296,Nylon 6T
7.155208972405395,-5.196851989179469,Nylon 6T
14.205753867040759,-2.0541543034142795,Nylon 6T
14.84719017112097,-0.15978582298818989,Nylon 6T
1.0546672922847966,7.092617528013273,Poly(ethylene)
7.155208972405395,6.439276339201564,Poly(ethylene)
14.205753867040759,6.326373575557824,Poly(ethylene)
14.84719017112097,6.323429367100961,Poly(ethylene)
1.0546672922847966,8.046583500309524,FKM
7.155208972405395,8.011515459434653,FKM
14.205753867040759,13.381000542305674,FKM
14.84719017112097,15.032855154434898,FKM
