Coefficient Of Thermal Expansion (1/K),Kinematic Viscosity (mm²/s)
2,-0.4774945159938234,aluminum/Nylon 6
4,-0.7881349834495626,aluminum/Nylon 6
7,-0.9548394745666899,aluminum/Nylon 6
13,-1.064386812672803,aluminum/Nylon 6
2,5.399588184841837,graphene nanoplatelets/Nylon 6
4,5.664421663055264,graphene nanoplatelets/Nylon 6
7,6.528122800433726,graphene nanoplatelets/Nylon 6
13,8.285187442426967,graphene nanoplatelets/Nylon 6
2,5.181500840737515,Al2O3/Nylon 6
4,5.810941614518408,Al2O3/Nylon 6
7,6.126178750784868,Al2O3/Nylon 6
13,9.780589170504047,Al2O3/Nylon 6
2,-1.2355847354124474,OAP-POSS/Nylon 6
4,-1.4981643013771484,OAP-POSS/Nylon 6
7,-1.572733639188678,OAP-POSS/Nylon 6
13,-1.7924426075318711,OAP-POSS/Nylon 6
2,-3.4415806807412226,multi-walled carbon nanotube/Nylon 6
4,-2.709395432433925,multi-walled carbon nanotube/Nylon 6
7,-0.7821762422706726,multi-walled carbon nanotube/Nylon 6
13,0.6270585173455654,multi-walled carbon nanotube/Nylon 6
