Mechanical Strength (MPa),Charge Transfer Resistance (Ω·m²)
6.989429311836368,6.874108271603592,
8.48861221599046,6.852211714693791,
8.662307342518405,6.848437147179853,
14.205465054085975,6.788110808718573,
5,-3.6852992769363038,
6,-4.107068136268672,
10,-2.86690107293017,
16,1.1708253214042044,
4.245955914621931,-4.480484735719559,
9.66494328075459,13.627085064146911,
17.632668542171782,530.263200620128,
19.758371078305096,-184.9656704764888,
4.558360731322426,3.142657116542979,
8.639320595325993,3.2764714963160104,
9.593695404776438,4.722493735617499,
12.715207052387555,3.928109911169219,
9.587022101784427,-5.127209058878527,
11.185303743878649,-5.138627741573061,
12.553054130984606,-5.146439702371751,
17.455690851348667,-5.166510827324847,
