Pressure (Pa),Thermal Conductivity (W/(m·K))
0,-3.014119914674238,PCTFE
8,-4.012817494623694,PCTFE
13,-4.0861408891054465,PCTFE
0,0.8899637531910038,Polyphenylsulfone
8,0.23614947727761332,Polyphenylsulfone
13,0.11794631754791413,Polyphenylsulfone
0,8.172858349266479,PBI
8,18.707476061627208,PBI
13,85.87350214615347,PBI
0,-0.7854406713561133,DGEBA Epoxy Resin
8,0.2272659673843207,DGEBA Epoxy Resin
13,-0.6354711119220156,DGEBA Epoxy Resin
0,3.8804413685066566,S-SEBS
8,8.785728844807728,S-SEBS
13,130.27781724507847,S-SEBS
